"doc_id","doc_title","req_id","subject","predicate","object","category","priority","source_sentence","shacl_valid"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r001","City of Cupertino","seeks to secure","a firm to provide a citywide AI chatbot solution and support services","Strategic objective","MUST","The City is seeking to secure a firm with the required experience, qualifications, expertise, and resources to perform the services identified in this Request for Proposal.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r002","AI chatbot solution","must support","City staff in delivering services to residents","Functional","MUST","The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r003","AI chatbot solution","must provide","a resident-facing tool for accessing City information and services","Functional","MUST","The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r004","Vendor","must perform","needs assessment and planning as part of the project scope","Deployment","MUST","The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r005","AI solution","must ingest and integrate","City content and existing municipal systems","Integration","MUST","The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r006","AI chatbot","must meet","user experience, accessibility, administration, analytics, and security requirements","Accessibility","MUST","User experience, accessibility, administration, analytics, and security requirements are included in the scope of work.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r007","Vendor","must deliver","administrator training and ongoing technical support","Training","MUST","Core services include implementation of the chatbot platform, administrator training, analytics and reporting, and ongoing technical support.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r008","AI chatbot","may integrate with","CRM solution, permitting system, agenda management system, or PRA system","Integration","MAY","Vendors may also propose additional services such as AI Chatbot integration with a customer relationship management (CRM) solution, permitting system, agenda management system, PRA System etc.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r009","Deployment","must begin with","internal staff testing in a sandbox environment before scaling to resident-facing deployment","Deployment","MUST","The deployment will begin with internal staff testing in a sandbox environment before ultimately scaling to a full resident-facing deployment.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r010","Vendor","must collaborate with","City staff and other partners throughout the project","Collaboration","MUST","The vendor will collaborate with City staff and other partners throughout the project.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r011","AI chatbot","must comply with","ADA/WCAG accessibility standards and data retention and PII protection requirements","Compliance","MUST","Security, privacy, and accessibility compliance (e.g., ADA/WCAG, data retention, PII protection).","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r012","Vendor","must provide","model evaluation and monitoring capabilities as part of the scope of work","Quality","MUST","Model evaluation and monitoring is included in the scope of work.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r013","Proposers","must demonstrate","prior experience with chatbot or AI-enabled service delivery platforms in public sector","Selection","MUST","Describe the qualifications and experience of the team members assigned to the project, with emphasis on relevant public sector work.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r001","NDC Partnership Support Unit","needs to implement","a Retrieval-Augmented Generation (RAG) chatbot to improve information management processes","Strategic objective","MUST","The NDC Partnership is seeking services from a vendor to implement AI technologies for the SU, starting with a RAG Chatbot with indexing technology.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r002","RAG chatbot","must enable","SU staff to efficiently retrieve precise up-to-date information from SU data sources","Functional","MUST","The RAG Chatbot would enable SU staff to efficiently retrieve precise up-to-date information from SU data sources.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r003","RAG chatbot","must interface directly with","internal and external SU data sources to improve information management processes","Integration","MUST","Designed to interface directly with internal and external SU data sources to improve information management processes.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r004","RAG chatbot","must utilize","advanced semantic search functionality to dynamically retrieve and synthesise information","Functional","MUST","Utilizing an advanced semantic search functionality, the RAG Chatbot would enable fluid and intelligent information extraction, reducing reliance on manual searches and document review.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r005","Generative AI model","must automate","initial thematic tagging processes based on set taxonomies including sector and activity type","Functional","MUST","The configuration of generative AI to automate thematic tagging processes based on set taxonomies (e.g., including tagging based on sector, activity type, etc.).","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r006","Knowledge database","must be vectorised","with embeddings stored to enable advanced semantic search capabilities","Functional","MUST","The Knowledge database is vectorized, with embeddings stored to enable advance semantic search capabilities, offering more accurate and contextual results compared to traditional keyword search.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r007","Vendor","must complete","a pilot or proof of concept with user testing before full implementation","Deployment","MUST","Complete a pilot or proof of concept for proposed AI technologies and use cases, utilizing SU data and processes, and with user testing included to verify outputs.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r008","Vendor","must include","a management plan to ensure long-term sustainable hosting and mitigate data security and environmental risks","Sustainability","MUST","Include a management plan to ensure long-term hosting of the tool is sustainable and that data security and environmental risks are fully mitigated.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r009","Vendor","must ensure","that team capacity requirements are met for long-term utilisation and management of AI technologies","Training","MUST","Work with SU colleagues to ensure that team capacity requirements are met for long-term utilisation and management of implemented AI technologies.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r010","Indexing system","must significantly reduce","the likelihood of hallucinations by facilitating seamless switching between data sources","Quality","MUST","Indexing facilitates seamless switching between data sources, while also significantly reducing the likelihood of hallucinations.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r001","European Commission DG GROW","needs to unlock","the full potential of public procurement data across the EU through an improved data space","Strategic objective","MUST","To unlock the full potential of procurement data, access to data and the ability to analyse and consume the data in a meaningful way by further improving and extending the capabilities of the Public Procurement Data Space.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r002","Contractor","must ensure","effective operation and governance of the PPDS including day-to-day running and system performance","Operations","MUST","Ensure the effective operation and governance of the PPDS. This involves the overall day-to-day running of the PPDS, maintaining system performance, managing user access, and ensuring data integrity.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r003","PPDS","must maintain and enhance","its services through continuous updates, new developments, and technological advancements","Functional","MUST","Maintain, enhance, and expand the PPDS services through continuous updates, new developments, and technological advancements.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r004","Contractor","must support","overall outreach by organising workshops, events, and community management for PPDS users","Outreach","MUST","The contractor shall support the Commission by organizing workshops, events, providing content for the PPDS website, and supporting the community management.","true"
