Assistance | MUST | agents | use | artificial intelligence solution
E-Government | MUST | City of Belval | improve | efficiency
E-Government | MUST | City of Belval | improve | quality of service
Public Administration | MUST | agents | reduce | complexity of procedures
Public Administration | MUST | agents | simplify | access to sources of information
Public Administration | MUST | agents | handle | increased volume of requests
Workforce | MUST | agents | assist | daily missions
Information Management | SHOULD | agents | facilitate | access to information
Customer Service | MUST | agents | improve | quality of answers
Operational Efficiency | MAY | agents | reduce | processing times
IT | MUST | present contract | deploy | solution
None | MUST | agents | provide | intelligent assistance
None | MAY | tool | accompany | agents in their administrative activities
None | MAY | tool | help with | drafting of letters and answers to users
None | MAY | tool | assist | instruction of files (town planning, social aids, civil status)
Workforce | MUST | solution | integrate | itself into the existing practices
Workforce | MUST NOT | solution | cause | a rupture in the agents' modes of work
Information Management | MUST | agents | access | reliable and up-to-date information
Assistance | MUST | solution | provide | help with drafting of administrative contents
Assistance | MAY | solution | include | assistance with answering users' queries
Assistance | SHOULD | solution | assist | in generating administrative letters
Assistance | MAY | solution | offer | support for synthesizing files
Assistance | MUST | solution | assist | agents
Analysis | MAY | solution | assist | agents
Processing | MAY | solution | assist | agents
Information Retrieval | SHOULD | solution | propose | relevant information
Regulation Compliance | MAY | solution | recall | applicable rules
Action Suggestion | MUST | solution | suggest | actions or verifications to carry out
Collaboration | MUST | solution | facilitate | continuity of processing for agents and services
Context Awareness | MUST | solution | take into account | context of files when available
Information Sharing | MUST | expected solution | allow | sharing relevant information between agents and services
Understanding | MUST | expected solution | allow | understanding file's context by agents and services
Legal Compliance | MUST | solution | respect | regulatory requirements
Data Security | MUST | holder | guarantee | strict GDPR compliance
Data Security | MUST | data | host | exclusively on the territory of the European Union
Privacy | None | data | protect | in an appropriate manner (encryption, anonymization if necessary)
AI Ethics | SHOULD | recommendations or proposals issued by The expected solution | be explained | 
None | MUST | solution | be designed as | a tool of assistance
MUST | None | decision | automate | absence of explicit validation of an agent
None | None | solution | provide | time of response compatible with a daily use
Service Management | MUST | solution | achieve | 99.9% availability
IT Integration | SHOULD | solution | integrate with | existing information system
Application Software | SHOULD | solution | support integration with | business software for civil status and town planning
Document Management | SHOULD | solution | support integration with | electronic document management system (EDM)
Identity Management | SHOULD | solution | support integration with | user directories
Interfaces | SHOULD |  | be | interfaces of API type
Data Management | MUST | City of Belval | obtain/ensure | data sovereignty
Cybersecurity | MUST | hosting | realised | on an infrastructure of SecNumCloud type
Supply Chain Management | MUST | organisation | bring | particular attention to dependence vis-à-vis non-European suppliers
Finance | MUST | City of Belval | keep | annual costs under control
Cost Management | MUST | holder | optimise | costs
Quality Assurance | MUST | holder | guarantee | quality of service
Environmental | None | City of Belval | limit | environmental footprint
Energy | MUST | holder | contribute to | reduction of energetic consumption
Sustainability | MAY | solution | rely on | infrastructure with low carbon impact
Deployment | MUST | project | deploy | progressively
Deployment | MUST | project | include | pilot phase
Deployment | MUST | project | generalize | service coverage
Education | SHOULD | accompaniment | support | change and actions of training for agents
Quality Assurance | MUST | offers | demonstrate | quality and relevance
Legal Compliance | MUST | solution | adhere to | regulatory requirements
Security | MUST | solution | ensure | high level
Cost Management | MUST | solution | optimise | global cost
Environmental Sustainability | SHOULD | solution | address | environmental issues
