[ Marie Curie  |  was  |  a pioneering physicist ]
[ Marie Curie  |  was  |  a chemist ]
[ Marie Curie  |  made  |  groundbreaking discoveries ]
[ Marie Curie  |  in  |  radioactivity ]
[ Marie Curie  |  had key contributions  |  1 ]
[ Marie Curie  |  discovered  |  a new chemical element ]
[ Marie Curie  |  named  |  Polonium ]
[ Polonium  |  named after  |  Marie Curie's native country, Poland ]
[ Marie Curie  |  discovered  |  radium ]
[ Marie Curie  |  along with  |  Pierre Curie ]
[ Pierre Curie  |  isolated  |  radium from pitchblende ]
[ Marie Curie  |  discovered  |  radium in 1898 ]
[ Pierre Curie  |  isolated radium  |  pitchblende ]
[ Marie Curie  |  researched  |  radioactivity ]
[ Marie Curie  |  coined  |  the term radioactivity ]
[ Marie Curie's research  |  advanced  |  understanding of radioactivity ]
[ Marie Curie  |  developed  |  radium-based dosimeters ]
[ Marie Curie  |  allowed for  |  precise measurements of radiation ]
[ precise measurements of radiation  |  used for  |  patients' radiation intake ]
[ patients' radiation intake  |  in context of  |  cancer treatments ]
[ Marie Curie  |  was the first woman to win  |  Nobel Prize ]
[ Marie Curie  |  won in  |  multiple sciences ]
[ Marie Curie  |  won  |  Nobel Prize ]
[ Marie Curie  |  won Nobel Prizes  |  multiple sciences ]
[ Marie Curie  |  won  |  the Nobel Prize in Physics ]
[ Marie Curie  |  won  |  the Nobel Prize in Chemistry ]
[ Marie Curie  |  shared Nobel Prize in Physics with  |  Pierre Curie and Henri Becquerel ]
[ Marie Curie  |  discovery of  |  radium ]
[ Marie Curie  |  discovery of  |  polonium ]
[ Pierre Curie  |  work  |  on radioactivity with Marie Curie ]
[ Henri Becquerel  |  work  |  on radioactivity with Marie Curie ]
[ Marie Curie  |  founded  |  the Radium Institute ]
[ the Radium Institute  |  became  |  a center for research into radioactivity ]
[ the Radium Institute  |  became  |  a center for cancer treatment ]
[ Paris  |  location of  |  the Radium Institute ]
[ Marie Curie  |  founded in  |  Paris ]
[ the Radium Institute  |  research into  |  radioactivity ]
[ the Radium Institute  |  research into  |  cancer treatment ]
[ Marie Curie  |  discoveries  |  significantly advanced scientific knowledge ]
[ Marie Curie  |  work  |  scientific understanding of radioactivity ]
[ Marie Curie  |  significantly advanced  |  scientific knowledge ]
[ Marie Curie  |  work  |  understanding of radioactivity ]
