"doc_id","doc_title","doc_url","req_id","subject","predicate","object","category","priority","source_sentence","is_requirement","neg_category","shacl_valid"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r001","City of Cupertino","seeks to secure","a firm to provide a citywide AI chatbot solution and support services","Strategic objective","MUST","The City is seeking to secure a firm with the required experience, qualifications, expertise, and resources to perform the services identified in this Request for Proposal.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r002","AI chatbot solution","must support","City staff in delivering services to residents","Functional","MUST","The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r003","AI chatbot solution","must provide","a resident-facing tool for accessing City information and services","Functional","MUST","The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r004","Vendor","must perform","needs assessment and planning as part of the project scope","Deployment","MUST","The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r005","AI solution","must ingest and integrate","City content and existing municipal systems","Integration","MUST","The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r006","AI chatbot","must meet","user experience, accessibility, administration, analytics, and security requirements","Accessibility","MUST","User experience, accessibility, administration, analytics, and security requirements are included in the scope of work.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r007","Vendor","must deliver","administrator training and ongoing technical support","Training","MUST","Core services include implementation of the chatbot platform, administrator training, analytics and reporting, and ongoing technical support.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r008","AI chatbot","may integrate with","CRM solution, permitting system, agenda management system, or PRA system","Integration","MAY","Vendors may also propose additional services such as AI Chatbot integration with a customer relationship management (CRM) solution, permitting system, agenda management system, PRA System etc.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r009","Deployment","must begin with","internal staff testing in a sandbox environment before scaling to resident-facing deployment","Deployment","MUST","The deployment will begin with internal staff testing in a sandbox environment before ultimately scaling to a full resident-facing deployment.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r010","Vendor","must collaborate with","City staff and other partners throughout the project","Collaboration","MUST","The vendor will collaborate with City staff and other partners throughout the project.","true","","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","https://media.governmentnavigator.com/media/bid/1763677524_112025_IT2025829.pdf","doc001_r011","AI chatbot","must comply with","ADA/WCAG accessibility standards and data retention and PII protection requirements","Compliance","MUST","Security, privacy, and accessibility compliance (e.g., ADA/WCAG, data retention, PII protection).","true","","true"
