City of Cupertino,seeks to secure,a firm to provide a citywide AI chatbot solution and support services,Strategic objective,MUST,The City is seeking to secure a firm with the required experience<ET> qualifications<ET> expertise<ET> and resources to perform the services identified in this Request for Proposal.,True
AI chatbot solution,must support,City staff in delivering services to residents,Functional,MUST,The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.,True
AI chatbot solution,must provide,a resident-facing tool for accessing City information and services,Functional,MUST,The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.,True
Vendor,must perform,needs assessment and planning as part of the project scope,Deployment,MUST,The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.,True
AI solution,must ingest and integrate,City content and existing municipal systems,Integration,MUST,The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.,True
AI chatbot,must meet,user experience<ET> accessibility<ET> administration<ET> analytics<ET> and security requirements,Accessibility,MUST,User experience<ET> accessibility<ET> administration<ET> analytics<ET> and security requirements are included in the scope of work.,True
Vendor,must deliver,administrator training and ongoing technical support,Training,MUST,Core services include implementation of the chatbot platform<ET> administrator training<ET> analytics and reporting<ET> and ongoing technical support.,True
AI chatbot,may integrate with,CRM solution<ET> permitting system<ET> agenda management system<ET> or PRA system,Integration,MAY,Vendors may also propose additional services such as AI Chatbot integration with a customer relationship management (CRM) solution<ET> permitting system<ET> agenda management system<ET> PRA System etc.,True
Deployment,must begin with,internal staff testing in a sandbox environment before scaling to resident-facing deployment,Deployment,MUST,The deployment will begin with internal staff testing in a sandbox environment before ultimately scaling to a full resident-facing deployment.,True
Vendor,must collaborate with,City staff and other partners throughout the project,Collaboration,MUST,The vendor will collaborate with City staff and other partners throughout the project.,True
AI chatbot,must comply with,ADA/WCAG accessibility standards and data retention and PII protection requirements,Compliance,MUST,Security<ET> privacy<ET> and accessibility compliance (e.g.<ET> ADA/WCAG<ET> data retention<ET> PII protection).,True
Vendor,must provide,model evaluation and monitoring capabilities as part of the scope of work,Quality,MUST,Model evaluation and monitoring is included in the scope of work.,True
Proposers,must demonstrate,prior experience with chatbot or AI-enabled service delivery platforms in public sector,Selection,MUST,Describe the qualifications and experience of the team members assigned to the project<ET> with emphasis on relevant public sector work.,True
NDC Partnership Support Unit,needs to implement,a Retrieval-Augmented Generation (RAG) chatbot to improve information management processes,Strategic objective,MUST,The NDC Partnership is seeking services from a vendor to implement AI technologies for the SU<ET> starting with a RAG Chatbot with indexing technology.,True
RAG chatbot,must enable,SU staff to efficiently retrieve precise up-to-date information from SU data sources,Functional,MUST,The RAG Chatbot would enable SU staff to efficiently retrieve precise up-to-date information from SU data sources.,True
RAG chatbot,must interface directly with,internal and external SU data sources to improve information management processes,Integration,MUST,Designed to interface directly with internal and external SU data sources to improve information management processes.,True
RAG chatbot,must utilize,advanced semantic search functionality to dynamically retrieve and synthesise information,Functional,MUST,Utilizing an advanced semantic search functionality<ET> the RAG Chatbot would enable fluid and intelligent information extraction<ET> reducing reliance on manual searches and document review.,True
Generative AI model,must automate,initial thematic tagging processes based on set taxonomies including sector and activity type,Functional,MUST,The configuration of generative AI to automate thematic tagging processes based on set taxonomies (e.g.<ET> including tagging based on sector<ET> activity type<ET> etc.).,True
Knowledge database,must be vectorised,with embeddings stored to enable advanced semantic search capabilities,Functional,MUST,The Knowledge database is vectorized<ET> with embeddings stored to enable advance semantic search capabilities<ET> offering more accurate and contextual results compared to traditional keyword search.,True
Vendor,must complete,a pilot or proof of concept with user testing before full implementation,Deployment,MUST,Complete a pilot or proof of concept for proposed AI technologies and use cases<ET> utilizing SU data and processes<ET> and with user testing included to verify outputs.,True
Vendor,must include,a management plan to ensure long-term sustainable hosting and mitigate data security and environmental risks,Sustainability,MUST,Include a management plan to ensure long-term hosting of the tool is sustainable and that data security and environmental risks are fully mitigated.,True
Vendor,must ensure,that team capacity requirements are met for long-term utilisation and management of AI technologies,Training,MUST,Work with SU colleagues to ensure that team capacity requirements are met for long-term utilisation and management of implemented AI technologies.,True
Indexing system,must significantly reduce,the likelihood of hallucinations by facilitating seamless switching between data sources,Quality,MUST,Indexing facilitates seamless switching between data sources<ET> while also significantly reducing the likelihood of hallucinations.,True
European Commission DG GROW,needs to unlock,the full potential of public procurement data across the EU through an improved data space,Strategic objective,MUST,To unlock the full potential of procurement data<ET> access to data and the ability to analyse and consume the data in a meaningful way by further improving and extending the capabilities of the Public Procurement Data Space.,True
Contractor,must ensure,effective operation and governance of the PPDS including day-to-day running and system performance,Operations,MUST,Ensure the effective operation and governance of the PPDS. This involves the overall day-to-day running of the PPDS<ET> maintaining system performance<ET> managing user access<ET> and ensuring data integrity.,True
PPDS,must maintain and enhance,its services through continuous updates<ET> new developments<ET> and technological advancements,Functional,MUST,Maintain<ET> enhance<ET> and expand the PPDS services through continuous updates<ET> new developments<ET> and technological advancements.,True
Contractor,must support,overall outreach by organising workshops<ET> events<ET> and community management for PPDS users,Outreach,MUST,The contractor shall support the Commission by organizing workshops<ET> events<ET> providing content for the PPDS website<ET> and supporting the community management.,True
PPDS,must improve,its data governance framework to oversee the end-to-end data pipeline ensuring functional<ET> scalable<ET> and compatibility requirements,Data governance,MUST,Improving data governance framework to oversee the end-to-end data pipeline<ET> ensuring it meets functional<ET> scalable<ET> and compatibility requirements.,True
Contractor,must extend,the PPDS to cover additional public procurement data sources from EU member states,Integration,MUST,The contractor shall extend the data sources of the PPDS<ET> including public procurement data sources and relevant non-procurement data sources.,True
PPDS,must integrate,with other European Data Spaces through the Simpl-Open middleware platform,Integration,MUST,The contractor shall integrate the PPDS to other European Data Spaces through the Simpl-Open middleware platform<ET> once available.,True
PPDS,must enable,policy makers at EU and national level to gain insights to predict future trends in public procurement,Analytics,MUST,Policy makers at EU<ET> national and regional level will gain a wealth of insights that will enable them to predict future trends.,True
PPDS,must provide,companies and SMEs with a user-friendly portal giving access to a greater number of open tenders,Access,MUST,Companies<ET> and SMEs in particular<ET> will have a user-friendly portal that gives them access to a greater number of open tenders benefiting from better data quality.,True
PPDS,must ensure,interoperable<ET> reliable<ET> and secure use of public procurement data,Functional,MUST,A successful solution would provide an improved PPDS toolset<ET> infrastructure and governance that enables and ensures interoperable<ET> reliable and secure use of public procurement data.,True
System,must be built,mainly with open-source components to ensure reusability and reduce vendor lock-in,Architecture,MUST,Using mainly open-source components and reusability of common building blocks to reduce risks and vendor lock-in for the expansion and scale-up towards an EU-wide deployment.,True
European Commission AI Office,needs to create,a temporary AI Act Service Desk to help citizens<ET> companies<ET> and local authorities comply with the AI Act,Strategic objective,MUST,It is necessary to create a temporary support mechanism<ET> an 'AI Act Service Desk'<ET> for citizens<ET> companies<ET> local authorities and other organisations already developing or deploying AI or planning to do so.,True
AI Act Service Desk,must collect<ET> channel<ET> and reply to,questions about AI Act compliance from stakeholders including SMEs and start-ups,Functional,MUST,The task of this 'AI Act Service Desk' would be to collect<ET> channel and reply to questions<ET> consult with the AI Office to develop standard answers<ET> provide guidance and direct companies to the relevant sources of information.,True
Contractor team,must handle,at least 120 new inquiries per day with a maximum turnaround of 2 working days,Operations,MUST,Human operators must be able to handle at least 120 new inquiries per day together. A target of max. 2 working days should not be exceeded for providing answers.,True
Service desk,must provide,answers in the same EU official language in which the question was asked,Functional,MUST,The contractor will provide answers in the same EU official language in which the question was asked.,True
Contractor,must maintain,a permanently updated registry of frequently asked questions and their standard answers,Knowledge management,MUST,A regular analysis of the questions will be carried out<ET> and new standard answers for frequent questions will be developed<ET> and a registry of frequently asked questions and their answers will be permanently updated.,True
Contractor,must contribute to,the development of decision-trees that allow self-assessments of parts of the AI Act,Knowledge management,MUST,Contributing to the development of decision-trees that allow self-assessments of certain parts of the AI Act.,True
Contractor,must contribute to,the preparation of AI Act information in easily understandable form such as summaries and fact sheets,Knowledge management,MUST,Contributing to the preparation of information about the AI Act in easily understandable form<ET> for example summaries or fact sheets.,True
Contractor,must be able to contribute to,the training of a chatbot if such a chatbot is developed and deployed by the Commission,Functional,MAY,Contributing to the training of a chatbot<ET> if such a chatbot is developed and deployed.,True
All online content,must comply with,EN 301 549 v3.2.1 and WCAG 2.1 Level AA web accessibility standards,Compliance,MUST,All online content must comply with EN 301 549 v3.2.1 and WCAG 2.1<ET> Level 'AA'.,True
