[ Marie Curie  |  coined  |  the term radioactivity ]
[ Marie Curie  |  allowed for  |  precise measurements of radiation ]
[ Marie Curie  |  won in  |  multiple sciences ]
[ Marie Curie  |  founded  |  the Radium Institute ]
[ Marie Curie  |  contributed to  |  the development of cancer treatments ]
[ Marie Curie  |  developed  |  aplastic anemia ]
[ Marie Curie  |  revolutionized  |  the field of chemistry ]
[ The Curies  |  extracted  |  these elements ]
[ The Curies  |  required processing  |  tons of pitchblende ]
[ Marie Curie  |  coined the term  |  Radioactivity ]
[ Marie Curie  |  describe the phenomenon of  |  spontaneous emission of radiation ]
[ This concept  |  was  |  groundbreaking ]
[ This concept  |  challenged  |  existing ideas about atomic structure ]
[ This concept  |  challenged  |  chemistry ]
[ Marie Curie  |  advanced  |  understanding of radioactivity ]
