Regulatory | Call for tenders – City of Belval | Implementation of an artificial intelligence solution of assistance to the agents | City of Belval
Technical | solution | must allow | assistance for agents in their daily missions
Technical | solution | must facilitate | access to information
Technical | solution | must improve | answer quality
Technical | solution | must reduce | processing times
Regulatory | contract | has for object | design, implementation and deployment
Technical | tool | must be accessible from | work environment
Technical | solution | will have to integrate | into the existing practices
Technical | solution | must not constitute | rupture in the agents' modes of work
Technical | solution | will have to cover | functionalities
Technical | agents | must be able to access quickly | reliable and up-to-date information
Technical | information | must come from | internal procedures of City of Belval, applicable regulatory texts, internal documents (guides, notes, repositories)
Technical | solution | will have to be in measure to contextualize | answers
Technical | solution | will have to propose a help with the drafting of | administrative contents
Technical | generated contents | will have to be adapted to | administrative context
Regulatory | generated contents | will have to be compliant with | requirements of quality expected
Technical | solution | will have to be in measure to assist agents | in the analysis and processing of files
Technical | solution | will have to take into account | context of the file
Technical | solution | will have to facilitate | continuity of the processing of the files between agents and services
Technical | solution | will have to allow | sharing of relevant information
Technical | solution | will have to allow | understanding of the context of an ongoing file
Technical | solution | will have to allow | effective resumption of the processing by another agent
Regulatory | expected solution | will have to imperatively respect | regulatory requirements in force
Regulatory | holder | will have to guarantee a strict compliance with | General Regulation on the Protection of Data (GDPR)
Sovereignty | data | will have to be hosted exclusively on the territory of | the European Union
Sovereignty | data transfer outside the | European Union | will not be authorized
Technical | data | will have to be protected in an appropriate manner with | encryption, anonymization if necessary
None | responsibility | must be designed as | a tool of assistance
Technical | decision | will not be able to be automated without | explicit validation of an agent
Technical | solution | will have to provide | response times compatible with daily use
Technical | time of response | is expected to be lower than | 2 seconds
Technical | expected solution | will have to guarantee | a high level of availability
Technical | availability | is expected at | the order of 99.9%
Technical | The expected solution | will have to integrate with | the existing system of information
Technical | Interfaces | will be expected | API type
Sovereignty | data |  | 
Sovereignty | hosting | will have to be realized on | an infrastructure of SecNumCloud type
Sovereignty | dependence vis-à-vis | a particular attention will be brought to | non-European suppliers
Budgetary | global budget | is estimated at | 3 million euros over a duration of 4 years
Budgetary | annual cost of exploitation | will have to remain mastered and compatible with | budgetary capacities of City of Belval
Budgetary | costs | must be optimized by | the holder's proposal
Technical | quality of service | must be guaranteed at a certain level | according to expectations
Environmental | City of Belval systems of information | must be limited in their environmental footprint | .
Environmental | solution | contributing to the reduction of | energetic consumption
Environmental | solution | relying, as much as possible, on | infrastructures with low carbon impact
Temporal | project | will have to be conducted in | a progressive manner
Temporal | generalization | must be done in a progressive manner | 
Regulatory | accompaniment to the change and actions of training of the agents | will be expected | 10.
Regulatory | offers | must comply with | regulatory requirements
Technical | offers | must have | a certain level of security
Budgetary | offers | are subject to | global cost considerations
Environmental | offers | take into account | environmental issues
